Product_Link,Product_Name,Rating,Description,Price,Website
https://www.myntra.com/face-wash-and-cleanser/mcaffeine/-mcaffeine-set-of-2-naked--raw-coffee-face-wash---50ml-each/26287020/buy,MCaffeine Coffee Face Wash,4.72,Anti-ageing · Aloe · Cream,238,Smytten
https://www.nykaa.com/aroma-magic-combination-skin-essentials-kit-small/p/1228566?ptype=product&skuId=1228566&srsltid=AfmBOopee2eKPOmPf4jc_3l0XOHqZxSCjhHqc90WF-4r4gngHBArdohXrJI,Aroma Magic Combination Skin Essentials Kit - Small 150 Gm,4.65,,225,Namaste Medico
https://www.google.com/url?url=https://www.skinpharmacy.in/shop/excela-moisturiser-for-oily-acne-prone-skin/%3Fsrsltid%3DAfmBOorzG08-FEn7Fl8rhIU5JcFppFp3QkLfTIMQibzDhi2zqB-qlMvrVtI&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ1SkIxhUoAA&usg=AOvVaw1xKdTJ9GAF2oEKPr02nzNP,Excela Moisturiser for Oily & Acne Prone Skin,4.6363,For Oily Skin · Cream · Matt,425,Skin Pharmacy
"https://www.google.com/shopping/product/5129495376501181585?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:5857326175638760032_0,pid:9240391038905731576,rsk:PC_8249161741685973461&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gIIvRYoAA",Plum Green Tea Experience Kit | Travel-Friendly | Mini Combo,4.5493,,399,blinkit
"https://www.google.com/shopping/product/1352639321580758630?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:12513853902859558379_0,pid:10167996218924841752,rsk:PC_10271459413169598051&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gIIhhMoAA",Aroma Magic Neem & Tea Tree Face Wash- 50 ml (Pwrd by Niacinamide),4.532,For Oily Skin · Aloe · Gel,81,Beuflix.com
"https://www.google.com/shopping/product/14012804250382825447?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:9990914576009924055_0,pid:2650339255588697238,rsk:PC_16842524432109276289&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gIImhIoAA",Lacto Calamine With Kaolin Clay For Oily Skin Face Wash,4.518,Oil-free · Unscented · Clay,177,Piramal Wellify
"https://www.google.com/shopping/product/13035085952170873028?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:14149293010377264274_0,pid:11771154791962212243,rsk:PC_12269301142482657913&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gII8BQoAA",Pilgrim Salicylic Acid & Niacinamide Oil Control Serum 30 Ml,4.379,Day · Green Tea · Serum,495,Pilgrim
"https://www.google.com/shopping/product/18338956568065114497?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:9355424137984649899_0,pid:12117023415843497754,rsk:PC_4622039548056032645&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gIIzxQoAA",Pond's Men Oil Control Face Creme 55 g,4.372,Face · Men's · Aloe · Day · Cream,110,JioMart
"https://www.google.com/shopping/product/6725138915965442909?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:669313327531564585_0,pid:17709635705763183062,rsk:PC_492832233014368807&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gII4hQoAA","The Man Company - Face Care Kit set, Box",4.352,,977.2,Netmeds.com
"https://www.google.com/shopping/product/16529029246539487743?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:11294703360426072449_0,pid:16653389459489833843,rsk:PC_4197850574093477262&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gIIqxIoAA",The Derma Co. 1% Salicylic Acid Gel Face Wash With Salicylic Acid & Witch Hazel ...,4.3372,For Sensitive Skin · Gel,269,Tata CLiQ Lifestyle
